,Time_Period,RIFLGFCM01_N.B,RIFLGFCM03_N.B,RIFLGFCM06_N.B,RIFLGFCY01_N.B,RIFLGFCY02_N.B,RIFLGFCY03_N.B,RIFLGFCY05_N.B,RIFLGFCY07_N.B,RIFLGFCY10_N.B,RIFLGFCY20_N.B,RIFLGFCY30_N.B,Time_Period_YM,MARGIN_RIFLGFCM01_N.B,MARGIN_RIFLGFCM03_N.B,MARGIN_RIFLGFCM06_N.B,MARGIN_RIFLGFCY01_N.B,MARGIN_RIFLGFCY02_N.B,MARGIN_RIFLGFCY03_N.B,MARGIN_RIFLGFCY05_N.B,MARGIN_RIFLGFCY07_N.B,MARGIN_RIFLGFCY10_N.B,MARGIN_RIFLGFCY20_N.B,MARGIN_RIFLGFCY30_N.B
355,1991-08-30,,5.49,5.6,5.72,6.36,6.68,7.34,7.67,7.82,,8.06,1991-08-01,,-0.20999999999999996,-0.33000000000000007,-0.47000000000000064,-0.4499999999999993,-0.5300000000000002,-0.4299999999999997,-0.35999999999999943,-0.379999999999999,,-0.29999999999999893
356,1991-09-30,,5.26,5.34,5.42,5.99,6.28,6.92,7.29,7.47,,7.82,1991-09-01,,-0.23000000000000043,-0.2599999999999998,-0.2999999999999998,-0.3700000000000001,-0.39999999999999947,-0.41999999999999993,-0.3799999999999999,-0.35000000000000053,,-0.2400000000000002
357,1991-10-31,,4.96,5.03,5.1,5.7,6.06,6.74,7.15,7.47,,7.91,1991-10-01,,-0.2999999999999998,-0.3099999999999996,-0.3200000000000003,-0.29000000000000004,-0.22000000000000064,-0.17999999999999972,-0.13999999999999968,0.0,,0.08999999999999986
358,1991-11-29,,4.47,4.57,4.69,5.38,5.76,6.48,6.99,7.38,,7.94,1991-11-01,,-0.4900000000000002,-0.45999999999999996,-0.40999999999999925,-0.3200000000000003,-0.2999999999999998,-0.2599999999999998,-0.16000000000000014,-0.08999999999999986,,0.03000000000000025
359,1991-12-31,,3.96,4.0,4.12,4.77,5.11,5.93,6.38,6.71,,7.41,1991-12-01,,-0.5099999999999998,-0.5700000000000003,-0.5700000000000003,-0.6100000000000003,-0.6499999999999995,-0.5500000000000007,-0.6100000000000003,-0.6699999999999999,,-0.5300000000000002
360,1992-01-31,,3.94,4.07,4.23,5.11,5.65,6.44,6.92,7.31,,7.77,1992-01-01,,-0.020000000000000018,0.07000000000000028,0.11000000000000032,0.34000000000000075,0.54,0.5100000000000007,0.54,0.5999999999999996,,0.35999999999999943
361,1992-02-28,,4.03,4.14,4.35,5.27,5.75,6.58,6.95,7.27,,7.8,1992-02-01,,0.0900000000000003,0.0699999999999994,0.11999999999999922,0.15999999999999925,0.09999999999999964,0.13999999999999968,0.03000000000000025,-0.040000000000000036,,0.03000000000000025
362,1992-03-31,,4.15,4.32,4.54,5.6,6.17,6.94,7.25,7.54,,7.96,1992-03-01,,0.1200000000000001,0.1800000000000006,0.1900000000000004,0.33000000000000007,0.41999999999999993,0.3600000000000003,0.2999999999999998,0.27000000000000046,,0.16000000000000014
363,1992-04-30,,3.79,3.97,4.4,5.46,6.05,6.91,7.26,7.61,,8.06,1992-04-01,,-0.3600000000000003,-0.3500000000000001,-0.13999999999999968,-0.13999999999999968,-0.1200000000000001,-0.03000000000000025,0.009999999999999787,0.07000000000000028,,0.10000000000000053
364,1992-05-29,,3.79,3.96,4.24,5.19,5.75,6.61,7.0,7.33,,7.84,1992-05-01,,0.0,-0.010000000000000231,-0.16000000000000014,-0.2699999999999996,-0.2999999999999998,-0.2999999999999998,-0.2599999999999998,-0.28000000000000025,,-0.22000000000000064
365,1992-06-30,,3.65,3.77,4.05,4.83,5.39,6.29,6.76,7.14,,7.79,1992-06-01,,-0.14000000000000012,-0.18999999999999995,-0.1900000000000004,-0.3600000000000003,-0.3600000000000003,-0.3200000000000003,-0.2400000000000002,-0.1900000000000004,,-0.04999999999999982
366,1992-07-31,,3.25,3.38,3.62,4.42,4.97,5.84,6.27,6.72,,7.46,1992-07-01,,-0.3999999999999999,-0.3900000000000001,-0.4299999999999997,-0.41000000000000014,-0.41999999999999993,-0.4500000000000002,-0.4900000000000002,-0.41999999999999993,,-0.33000000000000007
367,1992-08-31,,3.23,3.35,3.47,4.15,4.69,5.6,6.17,6.62,,7.42,1992-08-01,,-0.020000000000000018,-0.029999999999999805,-0.1499999999999999,-0.2699999999999996,-0.27999999999999936,-0.2400000000000002,-0.09999999999999964,-0.09999999999999964,,-0.040000000000000036
368,1992-09-30,,2.75,2.92,3.06,3.8,4.34,5.33,5.94,6.37,,7.38,1992-09-01,,-0.48,-0.43000000000000016,-0.41000000000000014,-0.35000000000000053,-0.35000000000000053,-0.2699999999999996,-0.22999999999999954,-0.25,,-0.040000000000000036
369,1992-10-30,,3.03,3.29,3.54,4.4,4.98,5.9,6.36,6.8,,7.63,1992-10-01,,0.2799999999999998,0.3700000000000001,0.48,0.6000000000000005,0.6400000000000006,0.5700000000000003,0.41999999999999993,0.4299999999999997,,0.25
370,1992-11-30,,3.38,3.58,3.83,4.79,5.36,6.23,6.61,6.95,,7.59,1992-11-01,,0.3500000000000001,0.29000000000000004,0.29000000000000004,0.3899999999999997,0.3799999999999999,0.33000000000000007,0.25,0.15000000000000036,,-0.040000000000000036
