,Date,Beta0,Beta1,Beta2,Tau,Curve
176,1999-09-01,0.06256963352366209,-0.015367305695365877,-0.002094707668687616,1.0,"NelsonSiegelCurve(beta0=0.06256963352366209, beta1=-0.015367305695365877, beta2=-0.002094707668687616, tau=1.0)"
177,1999-10-01,0.0632821848251285,-0.013469537301707394,-0.0005103997271558875,1.0,"NelsonSiegelCurve(beta0=0.0632821848251285, beta1=-0.013469537301707394, beta2=-0.0005103997271558875, tau=1.0)"
178,1999-11-01,0.06416409214229633,-0.012036542974862908,0.0015453649051633102,1.0,"NelsonSiegelCurve(beta0=0.06416409214229633, beta1=-0.012036542974862908, beta2=0.0015453649051633102, tau=1.0)"
179,1999-12-01,0.06613689280815117,-0.014045397272006469,0.0069749481921319465,1.0,"NelsonSiegelCurve(beta0=0.06613689280815117, beta1=-0.014045397272006469, beta2=0.0069749481921319465, tau=1.0)"
180,2000-01-01,0.06609362246427766,-0.011852646676086655,0.017080235108886357,1.0,"NelsonSiegelCurve(beta0=0.06609362246427766, beta1=-0.011852646676086655, beta2=0.017080235108886357, tau=1.0)"
181,2000-02-01,0.06267975464378119,-0.007785370618492536,0.022409688158148193,1.2245029008310424,"NelsonSiegelCurve(beta0=0.06267975464378119, beta1=-0.007785370618492536, beta2=0.022409688158148193, tau=1.2245029008310424)"
182,2000-03-01,0.05919623039806728,-0.00313101530534114,0.023559198725932123,1.0,"NelsonSiegelCurve(beta0=0.05919623039806728, beta1=-0.00313101530534114, beta2=0.023559198725932123, tau=1.0)"
183,2000-04-01,0.0599218518947508,-0.004558942444163911,0.029125779906703966,1.2963976863130284,"NelsonSiegelCurve(beta0=0.0599218518947508, beta1=-0.004558942444163911, beta2=0.029125779906703966, tau=1.2963976863130284)"
184,2000-05-01,0.06110264284355964,-0.00732371955299026,0.030690724100424824,1.0,"NelsonSiegelCurve(beta0=0.06110264284355964, beta1=-0.00732371955299026, beta2=0.030690724100424824, tau=1.0)"
185,2000-06-01,0.06007081011697038,-0.0023800271059221745,0.013978110570191934,1.0,"NelsonSiegelCurve(beta0=0.06007081011697038, beta1=-0.0023800271059221745, beta2=0.013978110570191934, tau=1.0)"
186,2000-07-01,0.0596555816482157,0.002769097949037954,0.005906674575430438,1.0,"NelsonSiegelCurve(beta0=0.0596555816482157, beta1=0.002769097949037954, beta2=0.005906674575430438, tau=1.0)"
187,2000-08-01,0.057373110967549074,0.006016271756135189,0.0059725647480305035,1.0,"NelsonSiegelCurve(beta0=0.057373110967549074, beta1=0.006016271756135189, beta2=0.0059725647480305035, tau=1.0)"
188,2000-09-01,0.059450624352370855,0.004788094434405339,-0.0067640691153692594,1.0,"NelsonSiegelCurve(beta0=0.059450624352370855, beta1=0.004788094434405339, beta2=-0.0067640691153692594, tau=1.0)"
189,2000-10-01,0.05866368030494131,0.007377990026074405,-0.008294008918909392,1.0,"NelsonSiegelCurve(beta0=0.05866368030494131, beta1=0.007377990026074405, beta2=-0.008294008918909392, tau=1.0)"
190,2000-11-01,0.05622088962829422,0.009538517925891287,-0.014791701085484533,1.0,"NelsonSiegelCurve(beta0=0.05622088962829422, beta1=0.009538517925891287, beta2=-0.014791701085484533, tau=1.0)"
191,2000-12-01,0.05563735253952162,0.006498686315488591,-0.02840128783649544,1.2936680342297395,"NelsonSiegelCurve(beta0=0.05563735253952162, beta1=0.006498686315488591, beta2=-0.02840128783649544, tau=1.2936680342297395)"
192,2001-01-01,0.05746998990209189,-0.005574138137194699,-0.030495038691555294,1.3068488708002042,"NelsonSiegelCurve(beta0=0.05746998990209189, beta1=-0.005574138137194699, beta2=-0.030495038691555294, tau=1.3068488708002042)"
